probes,genes,,,,,,,,,,,,,,,,,,,
91661_at,ZNF765,,,,,,,,,,,,,,,,,,,
92595_at,ZNF764,,,,,,,,,,,,,,,,,,,
284390_at,ZNF763,,,,,,,,,,,,,,,,,,,
388561_at,ZNF761,,,,,,,,,,,,,,,,,,,
7629_at,ZNF76,,,,,,,,,,,,,,,,,,,
7626_at,ZNF75D,,,,,,,,,,,,,,,,,,,
7627_at,ZNF75A,,,,,,,,,,,,,,,,,,,
79755_at,ZNF750,,,,,,,,,,,,,,,,,,,
388567_at,ZNF749,,,,,,,,,,,,,,,,,,,
65988_at,ZNF747,,,,,,,,,,,,,,,,,,,
155061_at,ZNF746,,,,,,,,,,,,,,,,,,,
283337_at,ZNF740,,,,,,,,,,,,,,,,,,,
7625_at,ZNF74,,,,,,,,,,,,,,,,,,,
148203_at,ZNF738,,,,,,,,,,,,,,,,,,,
100129842_at,ZNF737,,,,,,,,,,,,,,,,,,,
728927_at,ZNF736,,,,,,,,,,,,,,,,,,,
730291_at,ZNF735,,,,,,,,,,,,,,,,,,,
644017_at,ZNF734P,,,,,,,,,,,,,,,,,,,
643955_at,ZNF733P,,,,,,,,,,,,,,,,,,,
654254_at,ZNF732,,,,,,,,,,,,,,,,,,,
100129543_at,ZNF730,,,,,,,,,,,,,,,,,,,
100287226_at,ZNF729,,,,,,,,,,,,,,,,,,,
388523_at,ZNF728,,,,,,,,,,,,,,,,,,,
442319_at,ZNF727,,,,,,,,,,,,,,,,,,,
730087_at,ZNF726,,,,,,,,,,,,,,,,,,,
100128853_at,ZNF725P,,,,,,,,,,,,,,,,,,,
440519_at,ZNF724,,,,,,,,,,,,,,,,,,,
646864_at,ZNF723,,,,,,,,,,,,,,,,,,,
100419780_at,ZNF722P,,,,,,,,,,,,,,,,,,,
170960_at,ZNF721,,,,,,,,,,,,,,,,,,,
124411_at,ZNF720,,,,,,,,,,,,,,,,,,,
255403_at,ZNF718,,,,,,,,,,,,,,,,,,,
100131827_at,ZNF717,,,,,,,,,,,,,,,,,,,
441234_at,ZNF716,,,,,,,,,,,,,,,,,,,
148206_at,ZNF714,,,,,,,,,,,,,,,,,,,
349075_at,ZNF713,,,,,,,,,,,,,,,,,,,
